"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"550","MPP.5","MF","GO:0004519","endonuclease activity","16/989","60/8759",0.000751219347476093,0.0253042306518263,0.0235978598348446,"722348/716701/699692/702084/677718/697566/694401/712859/717481/697559/702604/713056/709225/706788/699210/708908",16
"551","MPP.5","MF","GO:0004601","peroxidase activity","8/989","20/8759",0.000930168674646843,0.0278213802803021,0.0259452674653475,"706142/701652/697635/719764/708377/706486/716665/712910",8
"552","MPP.5","MF","GO:0016893","endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters","8/989","20/8759",0.000930168674646843,0.0278213802803021,0.0259452674653475,"722348/716701/694401/712859/697559/713056/709225/706788",8
"553","MPP.5","MF","GO:0004529","DNA exonuclease activity","6/989","12/8759",0.00103285181356302,0.0278213802803021,0.0259452674653475,"707742/100429168/702084/697566/696467/698252",6
"554","MPP.5","MF","GO:0015035","protein-disulfide reductase activity","6/989","12/8759",0.00103285181356302,0.0278213802803021,0.0259452674653475,"712587/695213/700814/712910/712396/715226",6
"555","MPP.5","MF","GO:0015036","disulfide oxidoreductase activity","7/989","16/8759",0.00104330176051133,0.0278213802803021,0.0259452674653475,"712587/695213/700814/712910/712396/716078/715226",7
"556","MPP.5","MF","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","8/989","21/8759",0.00135541838973083,0.0346987107771091,0.0323588306095738,"706142/701652/697635/719764/708377/706486/716665/712910",8
"557","MPP.5","MF","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","9/989","26/8759",0.00150814658673358,0.0365503865656146,0.0340856401031307,"712587/710587/695213/700814/712910/712396/716078/715226/714997",9
"558","MPP.5","MF","GO:0003684","damaged DNA binding","10/989","31/8759",0.00154196943323687,0.0365503865656146,0.0340856401031307,"718006/696248/715701/697057/713813/707742/699570/574279/717979/701955",10
"559","MPP.5","MF","GO:0016491","oxidoreductase activity","69/989","436/8759",0.00205433369501283,0.0469561987431504,0.0437897445515892,"574353/703138/717990/712587/706110/706142/718370/701652/697635/706764/694309/701480/719764/710845/705957/708377/705539/719983/717022/715708/714966/722050/702128/574096/709875/706486/705461/710587/709490/721259/716665/695213/709285/714412/693380/703020/696381/719037/700814/712910/713040/715182/705317/700980/712396/704527/709110/694185/716078/715662/718930/100423990/710155/711035/677715/713823/715226/705106/714997/708065/693805/712623/715820/705721/722337/716977/721412/100424240/715747",69
