,gene,pval,qval,log2fc,mean,zero_mean,grad,coef_mle,coef_sd,ll
1913,ANGPT2,0.0,0.0,-0.9218486991743682,0.16703107963613406,False,0.17350866941150284,0.9218486991743682,0.031541236033308696,-9281.13434063558
1914,MTSS1,0.0,0.0,-0.9275795926101235,0.22587648688086742,False,0.23082390031645136,0.9275795926101235,0.027179573995008515,-11590.659487259058
1916,LOC123569448,0.0,0.0,-0.930324505714179,0.3023312633859604,False,0.3124553387578375,0.930324505714179,0.023516283393225573,-10267.215906005737
1922,DTL,0.0,0.0,-1.0212857597311917,0.18662056178099629,False,0.20121119432584877,1.0212857597311917,0.03095015039653134,-19011.6798935247
1927,TYMS,0.0,0.0,-1.039385378760341,0.589857377897823,False,0.5887533207094902,1.039385378760341,0.017527058949826813,-8596.574188692468
1929,PDLIM1,0.0,0.0,-1.0617511344759514,0.21203419800820528,False,0.008473663408370751,1.0617511344759514,0.02948044889815894,-2839.0679981657327
1930,RFLNB,0.0,0.0,-1.0647345996942594,0.32747262970271274,False,0.0348257942925305,1.0647345996942594,0.023748643480773993,-31523.61696744048
1934,UHRF1,0.0,0.0,-1.1203689251082183,0.2999453565909978,False,0.2968140240223219,1.1203689251082183,0.02534567039604508,-5191.401314641322
1939,IGLL1,0.0,0.0,-1.1621594148452965,0.5169707891048436,False,1.376940046524508e-09,1.1621594148452965,0.01996798401199831,-46431.91670579535
1947,RRM2,0.0,0.0,-1.2720488927996803,0.1520760974480456,False,0.10652767264915325,1.2720488927996803,0.03777099610254785,-3636.41691329915
1956,MPO,0.0,0.0,-1.4443206067173724,0.3205390515973522,False,1.5393223911152826e-09,1.4443206067173724,0.029429017403929506,-35344.78900405596
1960,HCST,0.0,0.0,-1.5175769417796352,0.24820966754409346,False,0.24311037700780938,1.5175769417796352,0.03268691554078111,-11270.371209853096
1962,PCLAF,0.0,0.0,-1.617352094928193,0.21441291292956102,False,0.22355737063266642,1.617352094928193,0.03668227014397751,-11633.102930602632
