"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"141","Adult_BM","BP","GO:0007254","JNK cascade","12/517","72/8716",0.000977503150157091,0.0383565041899427,0.0336026420407648,"707158/718387/714950/711355/711879/695567/710324/699955/693961/695652/711115/705056",12
"142","Adult_BM","BP","GO:0032612","interleukin-1 production","8/517","36/8716",0.0010022183352856,0.0383565041899427,0.0336026420407648,"574296/715615/704130/710441/701278/695567/697204/710796",8
"143","Adult_BM","BP","GO:0032652","regulation of interleukin-1 production","8/517","36/8716",0.0010022183352856,0.0383565041899427,0.0336026420407648,"574296/715615/704130/710441/701278/695567/697204/710796",8
"144","Adult_BM","BP","GO:0048880","sensory system development","20/517","158/8716",0.00103116786130009,0.0389831752442718,0.0341516441868324,"695091/716452/706549/697685/694022/100430739/703088/721324/711691/711355/710036/716990/702103/714731/711973/707540/695537/710796/694416/714451",20
"145","Adult_BM","BP","GO:0038084","vascular endothelial growth factor signaling pathway","6/517","21/8716",0.00106680084511594,0.0393374041948539,0.0344619703982081,"716937/715615/697755/716098/702103/714731",6
"146","Adult_BM","BP","GO:0070373","negative regulation of ERK1 and ERK2 cascade","6/517","21/8716",0.00106680084511594,0.0393374041948539,0.0344619703982081,"710832/100430739/697134/702103/708907/705056",6
"147","Adult_BM","BP","GO:0006979","response to oxidative stress","17/517","125/8716",0.00108535268033908,0.0393374041948539,0.0344619703982081,"702077/574296/697077/716937/708839/716452/701652/698213/704130/700907/700632/710441/717703/699329/694455/711115/716671",17
"148","Adult_BM","BP","GO:0008284","positive regulation of cell population proliferation","40/517","408/8716",0.00109129572927659,0.0393374041948539,0.0344619703982081,"574293/695091/613025/716937/704310/574365/710591/693917/716452/697685/702396/710188/700197/703088/721324/711879/697755/704130/716003/702502/696712/707749/714731/710441/707540/697832/714344/710643/717994/695567/719199/700068/694416/712410/714717/708425/714728/703997/717751/699377",40
"149","Adult_BM","BP","GO:0045216","cell-cell junction organization","13/517","83/8716",0.00111269379868751,0.0396477100681758,0.0347338173093017,"695091/695557/694116/706549/702481/711465/711355/707540/693440/698576/700504/702979/710796",13
"150","Adult_BM","BP","GO:0051091","positive regulation of DNA-binding transcription factor activity","15/517","104/8716",0.00114635948884769,0.0403831183571346,0.0353780799189838,"574293/613025/574296/716937/710591/703281/699798/698160/100428142/711879/707749/710441/695567/699955/714728",15
"151","Adult_BM","BP","GO:0048732","gland development","18/517","137/8716",0.00117732438477069,0.0406895070403686,0.0356464951321395,"695172/613025/710591/716452/699632/702396/710188/703088/711355/704130/706198/707937/707540/710324/694416/699955/703997/700692",18
"152","Adult_BM","BP","GO:0043065","positive regulation of apoptotic process","22/517","183/8716",0.00118272731933768,0.0406895070403686,0.0356464951321395,"697826/696908/710591/707539/716452/574097/710832/696712/100428720/712571/707749/716098/714740/700632/706198/707540/714405/708907/695567/695652/703997/711115",22
"153","Adult_BM","BP","GO:0062197","cellular response to chemical stress","14/517","94/8716",0.00120755956377868,0.0406895070403686,0.0356464951321395,"702077/574296/697077/716937/708839/716452/701652/704130/700907/700632/710441/717703/694455/711115",14
"154","Adult_BM","BP","GO:0071560","cellular response to transforming growth factor beta stimulus","14/517","94/8716",0.00120755956377868,0.0406895070403686,0.0356464951321395,"702077/700690/708839/716452/100430739/703088/711355/718616/702103/706198/707540/714451/715710/700692",14
"155","Adult_BM","BP","GO:0043542","endothelial cell migration","13/517","84/8716",0.0012469853989546,0.0413232526381069,0.0362016950106335,"719320/697017/716937/715615/715264/100430739/697755/707749/716098/702775/715952/700068/714717",13
"156","Adult_BM","BP","GO:0018108","peptidyl-tyrosine phosphorylation","15/517","105/8716",0.00126635774213553,0.0413232526381069,0.0362016950106335,"695091/574296/697017/704310/702396/717204/697755/702502/707749/704449/717994/695567/694915/697986/613032",15
